Hospital Department,Patient Symptoms (Patient-Friendly),Required Physician Area of Expertise #1,Physician Area of Expertise #2,Physician Area of Expertise #3
Gastroenterology & GI Surgery,"Black, tarry stools",General Gastroenterology,Endoscopy,Colonoscopy
Gastroenterology & GI Surgery,Bloating or feeling full quickly,General Gastroenterology,,
Gastroenterology & GI Surgery,Bright red blood from rectum,General Gastroenterology,Endoscopy,Colonoscopy
Gastroenterology & GI Surgery,Constipation that keeps coming back,General Gastroenterology,,
Gastroenterology & GI Surgery,"Crohn’s or ulcerative colitis symptoms (blood/mucus, urgency)",Crohn's Disease,Ulcerative Colitis,
Gastroenterology & GI Surgery,Feel food getting stuck & spasms / pain in my Esophagus when I swallow,Esophageal Motility,Swallowing Disorders,Esophagus Conditions
Gastroenterology & GI Surgery,Fatty liver disease (told NAFLD/MASH by my PCP),Liver Diseases,Fatty Liver Disease,NAFLD
Gastroenterology & GI Surgery,Gallbladder attacks (upper right belly pain after meals),General Gastroenterology,Endoscopy,Colonoscopy
Gastroenterology & GI Surgery,Groin or belly button bulge (possible hernia),General Gastroenterology,,
Gastroenterology & GI Surgery,Heartburn or acid reflux,GERD,Acid Reflux,
Gastroenterology & GI Surgery,History of pancreatitis or repeated attacks,Pancreas,Pancreatobiliary disease,
Gastroenterology & GI Surgery,Irritable bowel symptoms (cramps with diarrhea/constipation),General Gastroenterology,,
Gastroenterology & GI Surgery,Known liver scarring (cirrhosis) with swelling/confusion,Liver Diseases,,
Gastroenterology & GI Surgery,Left lower belly pain,General Gastroenterology,,
Gastroenterology & GI Surgery,Ongoing diarrhea,General Gastroenterology,,
Gastroenterology & GI Surgery,Ongoing nausea or vomiting,General Gastroenterology,,
Gastroenterology & GI Surgery,Pain with bowel movements or hemorrhoids,General Gastroenterology,Colon & Rectal Surgery,
Gastroenterology & GI Surgery,"Possible celiac disease (bloating, diarrhea, weight loss)",Celiac Disease,,
Gastroenterology & GI Surgery,Primary sclerosing cholangitis follow-up,Liver Diseases,,
Gastroenterology & GI Surgery,Right lower belly pain,General Gastroenterology,,
Gastroenterology & GI Surgery,Right upper belly pain (under ribs),General Gastroenterology,,
Gastroenterology & GI Surgery,"Slow stomach emptying (fullness, nausea hours after eating)",General Gastroenterology,,
Gastroenterology & GI Surgery,Throwing up blood (not an emergency visit),General Gastroenterology,,
Gastroenterology & GI Surgery,Trouble swallowing food,Esophageal Motility,Swallowing Disorders,Esophagus Conditions
Gastroenterology & GI Surgery,Unplanned weight loss with belly symptoms,General Gastroenterology,,
Gastroenterology & GI Surgery,Upper belly burning or gnawing pain (indigestion),General Gastroenterology,,
Gastroenterology & GI Surgery,Yellow skin/eyes or abnormal liver tests,Liver Diseases,Hepatobiliary Diseases,
Heart & Vascular,Abnormal heart tracing (ECG) told by another clinic,General Cardiology,,
Heart & Vascular,Adult with a heart condition since birth,Adult Congenital Heart Disease,,
Heart & Vascular,"Bulging leg veins or heavy, achy legs",Peripheral Vascular Disease,Peripheral Arterial Disease,
Heart & Vascular,"Chest pain or pressure, especially with activity",General Cardiology,Coronary Artery Disease,
Heart & Vascular,"Chest pain spreading to arm, shoulder, back, or jaw",General Cardiology,Interventional Cardiology,
Heart & Vascular,Cold or numb feet with weak pulses,Peripheral Vascular Disease,Peripheral Arterial Disease,
Heart & Vascular,Concern for heart infection (fever with murmur or IV line),General Cardiology,Valve Disease,
Heart & Vascular,Dizziness or lightheadedness with activity,General Cardiology,,
Heart & Vascular,Fainting or almost passing out,General Cardiology,Syncope (Fainting),
Heart & Vascular,"Fast heartbeat on standing, dizziness ",General Cardiology,,
Heart & Vascular,Follow-up after lung blood clot (pulmonary embolism),Pulmonary Embolism,,
Heart & Vascular,Follow-up for blocked heart arteries (coronary disease),General Cardiology,Coronary Artery Disease,
Heart & Vascular,Foot pain at rest or sores that won’t heal,Peripheral Vascular Disease,Peripheral Arterial Disease,
Heart & Vascular,Heart failure (weak or stiff heart) follow-up,Heart Failure,,
Heart & Vascular,Heart muscle disease (cardiomyopathy) in family or self,Heart Failure,,
Heart & Vascular,"Heart racing, fluttering, or skipping beats",General Cardiology,Arrhythmias,
Heart & Vascular,High blood pressure (hypertension) hard to control,General Cardiology,Hypertension,
Heart & Vascular,High cholesterol with trouble taking statins,Hyperlipidemia,,
Heart & Vascular,Known or suspected atrial fibrillation,Atrial Fibrillation,,
Heart & Vascular,"Known valve problem (aortic, mitral, etc.)",Valve Disease,,
Heart & Vascular,Leg pain with walking that gets better with rest,Peripheral Vascular Disease,Peripheral Arterial Disease,
Heart & Vascular,New heart murmur or told you have a valve problem,Valve Disease,General Cardiology,
Heart & Vascular,New leg swelling and pain (possible blood clot),Peripheral Vascular Disease,Peripheral Arterial Disease,
Heart & Vascular,Sharp chest pain better when leaning forward,General Cardiology,,
Heart & Vascular,Short of breath when lying flat or waking up gasping,Heart Failure,Cardiomyopathy,
Heart & Vascular,Shortness of breath with activity or at rest,Heart Failure,Cardiomyopathy,General Cardiology
Heart & Vascular,Slow or fast heartbeat noted on home device/ECG,General Cardiology,Arrhythmias,
Heart & Vascular,Swollen legs or ankles,Heart Failure,General Cardiology,
Heart & Vascular,Told you have an aortic aneurysm,Aortic Aneurysms,Aortic Disease,
Heart & Vascular,Told you have carotid narrowing or had a mini-stroke,Vascular Surgery,Stroke,
Heart & Vascular,Get tired quickly; Feel extreme fatigue / unusually weak,General Cardiology,,
Heart & Vascular,Family history of Heart Disease; Need a preventive check up,General Cardiology,,
Heart & Vascular,Feeling of heartburn or indigestion that doesn't seem normal,General Cardiology,,
Heart & Vascular,Experience cold sweats along with other symptoms,General Cardiology,,
Neuro,Back pain with pain/numbness down leg (sciatica),General Neurology,,
Neuro,Balance troubles or frequent falls,General Neurology,Gait & Balance Disorders,
Neuro,Brain tumor follow-up,Brain Tumor,,
Neuro,Burning feet or nerve pain,Neuropathies,,
Neuro,Concussion or ongoing symptoms after a head injury,Concussion,Brain Injuries,
Neuro,Frequent migraines,Headache Disorders,Chronic Migraine,
Neuro,Hand numbness from nerve trapping (carpal/cubital tunnel),General Neurology,,
Neuro,Memory loss or worsening forgetfulness,Dementia,,
Neuro,Multiple sclerosis – new symptoms or follow-up,Multiple Sclerosis,,
Neuro,Neck pain with arm numbness or weakness,General Neurology,,
Neuro,Numbness or tingling in hands or feet,Neuropathy,General Neurology,
Neuro,Pituitary tumor or high hormone levels on labs,Pituitary Tumors,,
Neuro,Room-spinning dizziness (vertigo),Dizziness,Otoneurology,
Neuro,Seizure or new spells with shaking or blackouts,Epilepsy,Seizures,
Neuro,Severe face pain (possible trigeminal neuralgia),Trigeminal Neuralgia,,
Neuro,Shaking (tremor) or concern for Parkinson’s,Parkinson's Disease,,
Neuro,Stroke-like symptoms that got better (mini-stroke) or follow-up after stroke,Stroke,,
Neuro,"Trouble walking, memory changes, and urinary leaks together",General Neurology,,
Neuro,Severe snoring. My primary care physician suspects Sleep Apnea.,Obstructive Sleep Apnea,Sleep Disorders,
Neuro,Worst new headache or different from usual headaches,Headache Disorders,Chronic Migraine,
OB/Gyn,Abnormal Pap smear (told HSIL/ASC-H) or needs colposcopy,Abnormal Pap smear,Cervical Cancer,
OB/Gyn,Accidental urine leaks (stress or urge),Urinary Incontinence,,
OB/Gyn,"Birth control counseling (IUD, implant, pills)",Contraception,Family Planning,
OB/Gyn,"Concern for ovarian, uterine, or cervical cancer",Ovarian Cancer,Uterine Cancer,Cervical Cancer
OB/Gyn,Fibroids causing heavy bleeding or pressure,Uterine Fibroids,,
OB/Gyn,Frequent vaginal infections or discharge concerns,General Obstetrics,Gynecology,
OB/Gyn,Heavy or irregular periods,General Obstetrics,Gynecology,
OB/Gyn,"High-risk pregnancy (twins, preeclampsia history, diabetes, etc.)",High Risk Pregnancy,Maternal–Fetal Medicine (MFM),
OB/Gyn,"Hot flashes, night sweats, or menopause care",Perimenopause,Menopause,
OB/Gyn,Light bleeding or cramping in early pregnancy (non-emergency),General Obstetrics,Gynecology,
OB/Gyn,Multiple miscarriages,High Risk Pregnancy,Maternal–Fetal Medicine (MFM),
OB/Gyn,Pelvic bulge or pressure (possible prolapse),Prolapse,,
OB/Gyn,Pelvic pain (during periods or not),General Obstetrics,Gynecology,
OB/Gyn,Planning a pregnancy (preconception),General Obstetrics,Gynecology,
OB/Gyn,Positive home pregnancy test – first prenatal visit,General Obstetrics,Gynecology,
